timestamp,count,bicycle,car,motorcycle,bus,train,truck,total_detections
1756891452.0811908,215,0,6,0,2,0,1,9
1756891452.306612,216,0,5,0,2,0,1,8
1756891452.5368729,216,0,6,0,2,0,1,9
1756891452.7705479,216,0,6,0,2,0,1,9
1756891453.0168052,216,0,6,0,2,0,1,9
1756891453.242503,216,0,6,0,2,0,1,9
1756891453.476685,216,0,6,0,2,0,1,9
1756891453.732043,216,0,7,0,2,0,1,10
1756891453.971324,216,0,7,0,2,0,1,10
1756891454.2165492,216,0,7,0,2,0,1,10
1756891454.442375,216,0,7,0,2,0,1,10
1756891454.672491,216,0,7,0,2,0,1,10
1756891454.9455,216,0,7,0,2,0,1,10
1756891455.233867,216,0,7,0,2,0,1,10
1756891455.46562,216,0,8,0,2,0,1,11
1756891455.686147,216,0,8,0,2,0,1,11
1756891455.915117,216,0,7,0,2,0,1,10
1756891456.144193,216,0,7,0,2,0,1,10
1756891456.3688252,216,0,8,0,2,0,1,11
1756891456.59709,216,0,8,0,2,0,1,11
1756891456.8169181,216,0,7,0,2,0,1,10
1756891457.0955021,216,0,7,0,2,0,1,10
1756891457.317288,216,0,6,0,2,0,2,10
1756891457.557121,216,0,6,0,2,0,1,9
1756891457.7834282,216,0,7,0,2,0,1,10
1756891458.049367,216,0,8,0,2,0,1,11
1756891458.277832,216,0,7,0,2,0,1,10
1756891458.500573,216,0,7,0,2,0,1,10
1756891458.7279072,216,0,7,0,2,0,1,10
1756891459.039038,216,0,7,0,2,0,1,10
1756891459.272071,216,0,7,0,2,0,1,10
1756891459.497495,216,0,6,0,2,0,1,9
1756891459.7185721,216,0,6,0,2,0,1,9
1756891459.954966,216,0,7,0,2,0,1,10
1756891460.192019,216,0,6,0,2,0,1,9
1756891460.422157,216,0,7,0,2,0,1,10
1756891460.644532,216,0,6,0,2,0,1,9
1756891460.865772,216,0,6,0,2,0,1,9
1756891461.146733,216,0,6,0,2,0,1,9
1756891461.375177,216,0,7,0,2,0,1,10
1756891461.6036348,216,0,8,0,2,0,1,11
1756891461.826626,216,0,7,0,2,0,1,10
1756891462.060607,216,0,8,0,2,0,1,11
1756891462.294205,216,0,8,0,2,0,2,12
1756891462.529203,216,0,8,0,2,0,1,11
1756891462.799121,216,0,7,0,2,0,2,11
1756891463.030538,216,0,8,0,2,0,2,12
1756891463.299243,216,0,9,0,2,0,1,12
1756891463.52758,216,0,8,0,2,0,1,11
1756891463.749977,216,0,6,0,2,0,1,9
1756891464.0032132,216,0,8,0,2,0,1,11
1756891464.250386,216,0,8,0,2,0,1,11
1756891464.48801,216,0,8,0,2,0,1,11
1756891464.822189,216,0,8,0,2,0,1,11
1756891465.0563462,216,0,9,0,2,0,1,12
1756891465.318123,216,0,7,0,2,0,1,10
1756891465.5347042,216,0,8,0,2,0,1,11
1756891465.742652,217,0,8,0,2,0,2,12
1756891465.948318,218,0,8,0,2,0,2,12
1756891466.15973,219,0,8,0,2,0,2,12
1756891466.371459,220,0,7,0,2,0,3,12
1756891466.572,221,0,7,0,2,0,1,10
1756891466.774275,222,0,8,0,2,0,1,11
1756891466.9718132,223,0,10,0,2,0,1,13
1756891467.173428,224,0,7,0,2,0,1,10
1756891467.4122088,225,0,8,0,2,0,1,11
1756891467.6186602,226,0,8,0,2,0,1,11
1756891467.814728,227,0,7,0,2,0,1,10
1756891468.01179,229,0,8,0,2,0,2,12
1756891468.221375,230,0,8,0,2,0,1,11
1756891468.424989,232,0,8,0,2,0,2,12
1756891468.6228192,234,0,8,0,2,0,2,12
1756891468.8218188,235,0,7,0,2,0,1,10
1756891469.019787,237,0,8,0,2,0,2,12
1756891469.2644212,239,0,8,0,2,0,2,12
1756891469.532783,241,0,6,0,2,0,3,11
1756891469.732108,243,0,7,0,2,0,3,12
1756891469.934193,243,0,6,0,2,0,3,11
1756891470.141088,243,0,6,0,2,0,3,11
1756891470.341133,243,0,7,0,2,0,2,11
1756891470.5424829,243,0,6,0,2,0,2,10
1756891470.741173,243,0,7,0,2,0,1,10
1756891470.9384708,243,0,7,0,2,0,1,10
